distance,velocity,density,pressure,gamma,quality,void_fraction,speed_of_sound,enthalpy,total_enthalpy,mach_number,mass_flow,area,area_slope,perimeter,diameter,stress_wall,determinant_D,determinant_N1,determinant_N2,determinant_N3
0.034722389398620164,13.248288587526837,672.7486308902221,11955144.176837508,3.4722389398620163e-08,,0.0,811.3419812093274,1453035.7065799017,1453123.465155151,0.016328858723395404,15.649570783986196,0.0017558597697554677,-0.07737541195326292,0.14725505635786035,0.046872740229258206,205.75039358760208,-5994453.738199433,31303213854085.246,-3500571098.8015995,46376576138.079506
0.0378304470827536,15.351469993368646,672.7177472317414,11934846.745407177,3.783044708275359e-08,,0.0,811.1780726350247,1453005.6314425021,1453123.4652579809,0.018924907503356257,15.649564714204212,0.0015153725260711392,-0.07737541195326271,0.13638238169666103,0.04341186039533847,280.14078297742367,-6944806.776039895,56413478162703.12,-5445653046.645784,83598779339.87929
0.040531209097544714,17.808201192094785,672.6759138273111,11907363.714761125,4.053120909754471e-08,,0.0,810.9560076895907,1452964.8993871897,1453123.4654020388,0.021959515711376568,15.64955839299019,0.0013063999525889526,-0.07737541195326271,0.12693451756143145,0.040404511837773625,382.0048027404269,-8054198.56275507,102112477506628.17,-8499229665.411221,151355991859.46347
0.04136288003319582,18.731331077190642,672.6585892338384,11895985.9434487,4.136288003319581e-08,,0.0,810.8640296390283,1452948.0340203373,1453123.4654022988,0.023100458760674406,15.649558383705852,0.0012420490713333928,-0.07737541195326292,0.12402514829371439,0.03947843083729999,424.4635110360095,-8470834.746564534,124969690163245.7,-9889898738.55096,185250967591.6881
0.041798234126209644,19.253798615171483,672.6483950193935,11889292.0697165,4.179823412620963e-08,,0.0,810.809903884378,1452938.1110217522,1453123.465402309,0.02374637818671377,15.649558383515966,0.001208363369040909,-0.07737541195326292,0.12250218318276258,0.038993655986171036,449.5084259902599,-8706581.746109517,139494490745841.48,-10740277400.136494,206791138133.30563
0.042122449434839636,19.66223114707316,672.640229941241,11883931.182800435,4.212244943483962e-08,,0.0,810.7665498314013,1452930.1637354693,1453123.4654023098,0.02425140893042753,15.64955838348252,0.001183277075974109,-0.07737541195326271,0.1213680061728217,0.03863263623122448,469.5979980970538,-8890843.734453345,151702302588700.28,-11437966896.950294,224895948980.40784
0.04245352784533387,20.068897619968162,672.6319269982495,11878480.78527184,4.2453527845333854e-08,,0.0,810.7224638648354,1452922.0850776834,1453123.4654035238,0.02475433766112354,15.627227259769741,0.0011576597475732864,-0.06655672942238941,0.1202098205113949,0.038263974285156016,490.1097924044649,-9074281.867326314,141883257992188.72,-10476453271.448189,210250868125.07422
0.042904929420620304,20.539500830713568,672.6220958949823,11872029.912914135,4.290492942062029e-08,,0.0,810.6702693351336,1452912.529856348,1453123.4654035354,0.02533644270383681,15.510909247898956,0.0011227323647291466,-0.05053615518667135,0.11863071775062659,0.037761330265103345,514.6739149265624,-9286525.726406582,119194081786261.75,-8591118147.799198,176457278333.48004
0.043554851480363976,21.07295276317893,672.6106550290307,11864527.772864034,4.355485148036396e-08,,0.0,810.6095411987434,1452901.4307740473,1453123.4654431269,0.02599642823351904,15.405024262399014,0.0010868591105530818,-0.041884675737838356,0.1167585421337474,0.03716539825757846,543.4332833500282,-9527068.27707056,110292776254282.33,-7742163182.177022,163150239022.83945
0.04418549117595297,21.59822037353656,672.5990994764654,11856951.96974364,4.418549117595295e-08,,0.0,810.5482028903455,1452890.2238814803,1453123.4654431322,0.026646435457532515,15.405024262307515,0.001060444971395928,-0.04188467573783858,0.11517567505688514,0.03666155601849837,572.370920677389,-9763871.57342533,121692436343529.6,-8335232990.385834,180026198991.1254
0.047720041844161634,25.105824939676918,672.5146183724505,11801596.400208421,4.772004184416162e-08,,0.0,810.0996569413322,1452808.314527915,1453123.4657508659,0.030991032676730406,15.405017573070799,0.0009124014627790477,-0.04188467573783858,0.10630416899194624,0.03383766793268886,785.5382937110272,-11343854.257017182,221991622946639.44,-13086528509.43861,328548093826.0569
0.05069338581796174,29.079092570356035,672.4035130005063,11728879.629606333,5.069338581796173e-08,,0.0,809.5094702871604,1452700.6693004614,1453123.466112819,0.03592186828900309,15.405011728905892,0.0007878639145793742,-0.04188467573783858,0.09884125741623362,0.03146214939842408,1069.0428532774285,-13130462.704165623,399172111934663.25,-20324935208.07495,591030672402.1
0.05174177884159952,30.797913241999055,672.3503623921993,11694128.21592249,5.1741778841599505e-08,,0.0,809.2270274256339,1452649.2103843612,1453123.466114392,0.03805843378708618,15.40501170855317,0.0007439523127384937,-0.04188467573783847,0.09620985502857003,0.03062454800390313,1205.5691016681617,-13902185.221651014,502046334013131.7,-24140588584.536293,743479752837.3416
0.05232993808895063,31.85428628077211,672.3161686720098,11671783.46829497,5.2329938088950615e-08,,0.0,809.0452848774638,1452616.1183372217,1453123.4661144505,0.03937268639492373,15.405011707869715,0.0007193174533809813,-0.041884675737838356,0.09473361127941204,0.030154645024129116,1293.6445140005242,-14376104.504098227,574405805228046.6,-26706783089.780704,850725514180.3579
0.052725936229244694,32.565466964731996,672.2924840750835,11656313.43804258,5.2725936229244674e-08,,0.0,808.9193890596317,1452593.2113207753,1453123.466140091,0.04025798788503429,15.38525864780765,0.0007027311996819776,-0.034857322358954425,0.09373968015970234,0.029838266922539793,1354.8943691437232,-14694993.139742678,523198937262654.6,-23776125762.59238,774280638071.0155
