distance,velocity,density,pressure,gamma,quality,void_fraction,speed_of_sound,enthalpy,entropy,total_enthalpy,mach_number,mass_flow,area,area_slope,perimeter,diameter,stress_wall,determinant_D,determinant_N1,determinant_N2,determinant_N3
0.03278168313035104,15.35915716613652,706.3589824681826,11940317.564075876,3.278168313035104e-08,,0.0,903.7897333024114,1374033.534798129,3297.3497395351933,1374151.486652556,0.01699417087867858,20.678590319634445,0.0019060227167430705,-0.07737541195326292,0.15404407703001802,0.04903375262671212,287.28346092073787,-7661130.952078877,52016577572355.39,-4778166154.751896,73388604936.74857
0.036648009141949,18.21971525722221,706.317240984851,11906282.529501254,3.6648009141949e-08,,0.0,903.5660945347286,1373985.5079587211,3297.3500130616694,1374151.4869707483,0.020164230782258433,20.678572457572123,0.0016068641488500626,-0.07737541195326292,0.1405188116937804,0.04472852695692875,411.163356975395,-9085829.478224209,102950660317844.11,-7974572757.698528,145294444943.2685
0.039434708654195155,21.044931907653833,706.2690266469459,11866986.785965485,3.943470865419516e-08,,0.0,903.3077265798887,1373930.042562637,3297.3503087907993,1374151.4871421359,0.02329763300855881,20.678565364908003,0.00139124212610006,-0.07737541195326292,0.13077031914492893,0.04162548540324031,555.9902833273596,-10491849.593984446,183170838137605.47,-12286739946.269627,258573605536.29456
0.041141831160725936,23.254014914441026,706.2264820464449,11832328.356865773,4.114183116072594e-08,,0.0,903.0797006810029,1373881.1125631002,3297.350557613461,1374151.4871679207,0.025749681779919775,20.678564527304182,0.0012591528189025542,-0.07737541195326292,0.1247984262437535,0.03972457285356537,684.8615166545494,-11590385.774645828,272963845993431.8,-16573324980.806799,385396346285.5593
0.04209911705457758,24.708505905185216,706.1961457061423,11807624.932375172,4.209911705457758e-08,,0.0,902.9170850726109,1373846.2320373126,3297.350729830426,1374151.4871693458,0.02736519921228227,20.678564488438365,0.0011850824285087362,-0.07737541195326292,0.1214496280104587,0.038658617269072826,777.2196677881357,-12313225.292048486,347854363572728.3,-19879223793.226406,491185918485.43317
0.04311534940958702,26.077913026469336,706.1658611071834,11782980.744961817,4.3115349409587025e-08,,0.0,902.7547571210322,1373811.4585587024,3297.3509446607222,1374151.4873326104,0.02888704027396565,20.375662983411246,0.001106451031399646,-0.04306819486380137,0.117894621990909,0.03752702370760727,870.7710297395796,-12993427.149873117,244294818574620.53,-13200373361.202486,344238188430.3612
0.04416193038830712,27.158472980810753,706.1407507158474,11762567.663398158,4.416193038830712e-08,,0.0,902.6201953889159,1373782.6960762513,3297.3511950802267,1374151.487403576,0.030088483638579418,20.3558255470963,0.0010614318073466024,-0.04188467573783858,0.1152348111933041,0.036680379635351236,948.6528041864865,-13529898.70752499,279720765875260.12,-14513066948.260221,394152736583.02277
0.04523994516423433,28.36627337358061,706.1114720954869,11738772.868503992,4.5239945164234334e-08,,0.0,902.4632802837523,1373749.1646712746,3297.3514822981183,1374151.487403827,0.03143205268657767,20.355825542459655,0.0010162795080162924,-0.04188467573783847,0.1125290600185504,0.035819112286873726,1039.7385120921044,-14129263.849869717,332812479978519.44,-16534695071.671217,469027680551.82184
0.048606348587226934,32.941565108047456,705.9889496237735,11639278.760744354,4.860634858722694e-08,,0.0,901.8064447358165,1373608.9145590623,3297.352633571591,1374151.4879149462,0.036528420594396684,20.355817029468437,0.0008752787922414978,-0.04188467573783847,0.10407959325811326,0.03312956348404526,1423.9458486727424,-16396840.004391996,604696766080577.0,-25881947253.19937,852591850564.317
0.04963863739298094,34.655861177081306,705.9383002467762,11598187.793210566,4.963863739298095e-08,,0.0,901.5348289051174,1373550.9735589141,3297.353090578464,1374151.4879158768,0.038440956539826245,20.355817017204288,0.0008320417103446909,-0.04188467573783847,0.10148861147268125,0.032304828366820124,1583.9044940884237,-17245188.68209702,740462674187191.1,-30130143887.12751,1044186083797.7759
