distance,velocity,density,pressure,speed_of_sound,mass_flow,entropy,mach_number,quality,stable_fraction
0.027138181581459125,48.525375408764354,673.8762187099966,5207658.932707322,61.99192687699769,0.030959331418975215,1178.8875346313646,0.7827692709898627,0.05231934981991089,0.93456400109082
0.02714300266750823,49.288642380023056,667.0671884796855,5182631.328935041,62.295068458320195,0.03095885860504716,1178.8875346313646,0.7912125887300476,0.0555550842050351,0.9415802309024588
0.027147779788715267,50.0880596980091,659.9959663677989,5156275.289517099,62.61255345778082,0.030958416630481593,1178.8875346313646,0.7999683279453393,0.05890550902249805,0.9479009593810114
0.0271525041045035,50.92646838900575,652.6464500156765,5128483.560484092,62.94545451247924,0.030958003410219714,1178.8875346313646,0.8090571238771392,0.062377131429249465,0.9535775936085393
0.027157165408451096,51.80715509786083,644.9995343800616,5099132.837672463,63.29504743014447,0.030957616825036567,1178.8875346313646,0.8185025085104447,0.06597781556783784,0.958659603388971
0.0271617519031667,52.73395126305739,637.0325685961443,5068080.261988907,63.662850696134484,0.03095725472731442,1178.8875346313646,0.828331604482476,0.06971703109939584,0.963194287372343
0.027166249897305966,53.71136062382271,628.7186668385358,5035158.919988995,64.05067580929487,0.030956914942157413,1178.8875346313646,0.8385760172733143,0.07360616706821771,0.9672265385598261
0.027170643391962845,54.744725507426466,620.0258185339882,5000171.98649957,64.46069253748131,0.0309565952622735,1178.8875346313646,0.8492729964946406,0.07765893573419386,0.9707986055900079
0.02717491350820592,55.84044712890386,610.9157195056115,4962884.981229184,64.89551501849196,0.03095629343437805,1178.8875346313646,0.8604669692966014,0.08189190177371014,0.9739498406133513
0.02717903768201827,57.006282220596006,601.34221229849,4923015.368004513,65.35831730851567,0.030956007133831155,1178.8875346313646,0.872211595526627,0.08632518726278393,0.9767164146376709
0.0271829885092542,58.25174838787441,591.2491814064689,4880218.381226789,65.85299070378386,0.030955733922556013,1178.8875346313646,0.8845725572267337,0.09098342186829218,0.9791309638938398
0.027186732048525564,59.588684084332115,580.5677035371414,4834067.5096477335,66.38435995186249,0.030955471182597394,1178.8875346313646,0.8976313717198124,0.09589702777833195,0.9812221010106771
0.02719022525446446,61.03202054028777,569.2122621090894,4784027.705176899,66.9584788184169,0.030955216013910665,1178.8875346313646,0.9114905478333676,0.10110392359918505,0.9830136681919486
0.027193411971005346,62.600805916052195,557.0761177230678,4729420.070709152,67.58301609216973,0.0309549650812759,1178.8875346313646,0.9262801445658656,0.10665160112661042,0.9845235019635963
0.027196216502808592,64.31935522819444,544.0273805281469,4669382.842722044,68.26767098968944,0.03095471439170327,1178.8875346313646,0.9421641942041451,0.11259886623905255,0.9857612729873263
0.027198533683205534,66.21791712503328,529.9109598649368,4602850.964310022,69.02435216864006,0.03095445906011413,1178.8875346313646,0.9593413780001859,0.11901489210550743,0.9867247747298831
0.02720021316061644,68.32642175626033,514.6027354738343,4528782.405359615,69.86451035858973,0.030954193575536075,1178.8875346313646,0.9779846935957193,0.12595459505178325,0.9873929777081442
0.02720105837574015,70.65140388412033,498.17583101028305,4446983.728307383,70.78963791305812,0.03095391350731064,1178.8875346313646,0.9980472561661135,0.13338349717871495,0.987721495230491
0.027201121091283344,71.49769919073671,492.315073251852,4417195.3540524645,71.1257685224088,0.03095381316009882,1178.8875346313646,1.0052291971820413,0.13602986256711017,0.9877457998141917
0.027204806587482293,76.65456578422487,507.39508622876446,4494536.748438321,70.28173613173564,0.03404946499459538,1178.8875346313646,1.0906754727934445,0.12929459979352584,0.9890912935224013
0.027207634450303,74.91304242497532,520.9956069595404,4562392.109150105,69.53647836428505,0.03404968025781896,1178.8875346313646,1.077320051103591,0.12319440382235693,0.9900137601175157
0.02721027855693969,72.99450233115256,536.433119634655,4637397.474085951,68.70918400628602,0.03404990005424208,1178.8875346313646,1.0623689305417232,0.11624401524136886,0.990796998428773
0.027212572746593285,70.86955153378304,554.0862031457484,4720727.454002953,67.78734612774467,0.03405012815687837,1178.8875346313646,1.045468742797955,0.10826316708102666,0.9914178516865949
0.027214275848084845,68.47720550639072,574.6564109454172,4814778.430858697,66.74515359527301,0.03405037291612833,1178.8875346313646,1.0259502273621313,0.09891740816014638,0.9918435932843893
0.02721495525866698,65.90694974368922,597.5738276758734,4915976.232323543,65.62333772201929,0.034050630341508785,1178.8875346313646,1.004321816468271,0.08844033313181839,0.9920038901585896
